price,seller,title
"Rs 6,500","Gulistan-e-Jauhar, Karachi",Grand Prime 10/ 10 condition 4G Lte seild set
"Rs 72,000","Hyderabad, Sindh",Samsung S9+ Plus 6GB 64GB
"Rs 27,000","Ichhra, Lahore",Samsung Galaxy $6edg plus one hand use
"Rs 7,500","Faisalabad, Punjab",Samsung grand prime
"Rs 18,000","Hyderabad, Sindh",Samsung C5
"Rs 27,000","Shahdara, Lahore",Samsung A20 blue clr
"Rs 14,000","Wah, Punjab",Samsung galaxy j7
"Rs 21,000","Gulistan-e-Jauhar, Karachi",C5 4gb/64gb
"Rs 3,500","Shalimar Link Road, Lahore",Samsung Note 3 board
"Rs 13,000","Multan, Punjab",Samsung on 5
"Rs 28,000","Peshawar, Khyber Pakhtunkhwa",Samung S7 edeg.samung.Sedeg
"Rs 45,000","Peshawar, Khyber Pakhtunkhwa",S8 Plus No Dot  in good condition...
"Rs 33,000","Hyderabad, Sindh",Samsung a30 10 month warranty
"Rs 21,000","Faisalabad, Punjab",Iphone 6s 16gb
"Rs 68,000","Ravi Siphon Road, Lahore",Note 8
"Rs 22,000","Chiniot, Punjab",S7edge glaxy
"Rs 10,500","Abbottabad, Khyber Pakhtunkhwa",samsung grand prime duos
"Rs 21,500","Faisalabad, Punjab",J7 pro 3GB /64GB
"Rs 21,000","Sialkot, Punjab",Samsung Galaxy S7 Black
"Rs 12,500","Shahra-e-Jahangir, Karachi",Samsung Galaxy S6 64GB
